Frequency(Hz),Amp(dB)
5530000000,-0.367687999
5540000000,-0.367977622
5550000000,-0.368267979
5560000000,-0.368558377
5570000000,-0.368845175
5580000000,-0.369127394
5590000000,-0.369405668
5600000000,-0.36967728
5610000000,-0.369943079
5620000000,-0.370208308
5630000000,-0.370471459
5640000000,-0.370731113
5650000000,-0.370990997
5660000000,-0.371253587
5670000000,-0.371521425
5680000000,-0.371795057
5690000000,-0.372074655
5700000000,-0.372360507
5710000000,-0.372649381
5720000000,-0.372941573
5730000000,-0.373234091
5740000000,-0.37352784
5750000000,-0.373820469
5760000000,-0.374110492
5770000000,-0.374393811
5780000000,-0.374675861
5790000000,-0.374955759
5800000000,-0.375235811
5810000000,-0.375517494
5820000000,-0.375800433
5830000000,-0.376086112
5840000000,-0.376376433
5850000000,-0.376673331
5860000000,-0.376976162
5870000000,-0.377284812
5880000000,-0.377596086
5890000000,-0.377910285
5900000000,-0.378228349
5910000000,-0.378546027
5920000000,-0.378869603
5930000000,-0.379196181
5940000000,-0.379523151
5950000000,-0.379847268
5960000000,-0.380171336
5970000000,-0.380497185
5980000000,-0.380825879
5990000000,-0.381157295
6000000000,-0.381493291
6010000000,-0.381834283
6020000000,-0.382178605
6030000000,-0.382529124
6040000000,-0.382889962
6050000000,-0.383263941
6060000000,-0.38365096
6070000000,-0.384047279
6080000000,-0.384449603
6090000000,-0.384854358
6100000000,-0.385265245
6110000000,-0.38568295
6120000000,-0.386104327
6130000000,-0.386527653
6140000000,-0.386954689
6150000000,-0.387380245
6160000000,-0.387809251
6170000000,-0.388245578
6180000000,-0.388691618
6190000000,-0.3891505
6200000000,-0.389619452
6210000000,-0.390098646
6220000000,-0.390590091
6230000000,-0.391087962
6240000000,-0.391595636
6250000000,-0.392109467
6260000000,-0.392631926
6270000000,-0.393155922
6280000000,-0.393680889
6290000000,-0.394203552
6300000000,-0.394733031
6310000000,-0.395272465
6320000000,-0.395817746
6330000000,-0.39636851
6340000000,-0.396920274
6350000000,-0.397475176
6360000000,-0.398033584
6370000000,-0.398597644
6380000000,-0.399167695
6390000000,-0.399741561
6400000000,-0.40032199
6410000000,-0.400904543
6420000000,-0.401494479
6430000000,-0.402094025
6440000000,-0.402706625
6450000000,-0.403332791
6460000000,-0.403964451
6470000000,-0.404596931
6480000000,-0.405232507
6490000000,-0.405867305
6500000000,-0.406503273
6510000000,-0.40713813
6520000000,-0.407766944
6530000000,-0.408394161
6540000000,-0.409018211
6550000000,-0.409643751
6560000000,-0.410280815
6570000000,-0.410931957
6580000000,-0.411593413
6590000000,-0.412264373
6600000000,-0.41293947
6610000000,-0.413619701
6620000000,-0.414302008
6630000000,-0.414984392
6640000000,-0.415666811
6650000000,-0.416343268
6660000000,-0.417009794
6670000000,-0.417668209
6680000000,-0.418323742
6690000000,-0.418982907
6700000000,-0.419647168
6710000000,-0.420314614
6720000000,-0.420984453
6730000000,-0.421657181
6740000000,-0.422332403
6750000000,-0.423010809
6760000000,-0.423692023
6770000000,-0.424373382
6780000000,-0.425052291
6790000000,-0.425725976
6800000000,-0.426393973
6810000000,-0.42705973
6820000000,-0.427725064
6830000000,-0.42839063
6840000000,-0.42905587
6850000000,-0.429719432
6860000000,-0.43038441
6870000000,-0.431049867
6880000000,-0.431714263
6890000000,-0.432378946
6900000000,-0.433040524
6910000000,-0.433698505
6920000000,-0.434357065
6930000000,-0.435016587
6940000000,-0.435676185
6950000000,-0.436339998
6960000000,-0.437003712
6970000000,-0.437666667
6980000000,-0.438330642
6990000000,-0.438994932
7000000000,-0.439655798
7010000000,-0.440314446
7020000000,-0.440969995
7030000000,-0.441619738
7040000000,-0.442260367
7050000000,-0.442897191
7060000000,-0.443529563
7070000000,-0.444163094
7080000000,-0.444796116
7090000000,-0.445426237
7100000000,-0.446056438
7110000000,-0.44668784
7120000000,-0.447319059
7130000000,-0.447953786
7140000000,-0.448586712
7150000000,-0.449217584
7160000000,-0.449842871
7170000000,-0.450461271
7180000000,-0.451073784
7190000000,-0.451682537
7200000000,-0.452288718
7210000000,-0.452890192
7220000000,-0.453489361
7230000000,-0.454081365
7240000000,-0.454668671
7250000000,-0.455257377
7260000000,-0.455848128
7270000000,-0.456439023
7280000000,-0.457028694
7290000000,-0.457613446
7300000000,-0.458196157
7310000000,-0.458772202
7320000000,-0.459344551
7330000000,-0.459913271
7340000000,-0.460475124
7350000000,-0.461028895
7360000000,-0.461577722
7370000000,-0.462120845
7380000000,-0.462660031
7390000000,-0.463194611
7400000000,-0.463726985
7410000000,-0.464255882
7420000000,-0.46478187
7430000000,-0.465305121
7440000000,-0.465827326
7450000000,-0.466347127
7460000000,-0.466863661
7470000000,-0.467374979
7480000000,-0.467876834
7490000000,-0.468370804
7500000000,-0.468859585
7510000000,-0.469342399
7520000000,-0.469818143
7530000000,-0.470287215
7540000000,-0.470748503
7550000000,-0.471200326
7560000000,-0.47164536
7570000000,-0.47208476
7580000000,-0.472517071
7590000000,-0.472944136
7600000000,-0.473366256
7610000000,-0.473783543
7620000000,-0.474192288
7630000000,-0.474594413
7640000000,-0.474990902
7650000000,-0.475382317
7660000000,-0.475766918
7670000000,-0.476145832
7680000000,-0.476517359
7690000000,-0.476878476
7700000000,-0.477231373
7710000000,-0.477576569
7720000000,-0.477915919
7730000000,-0.478246431
7740000000,-0.478569804
7750000000,-0.47888308
7760000000,-0.479186461
7770000000,-0.47948526
7780000000,-0.479777034
7790000000,-0.480065716
7800000000,-0.480347465
7810000000,-0.480622431
7820000000,-0.480889584
7830000000,-0.481149042
7840000000,-0.481402295
7850000000,-0.481648926
7860000000,-0.481887906
7870000000,-0.482120023
7880000000,-0.482343033
7890000000,-0.482555575
7900000000,-0.482760498
7910000000,-0.482958946
7920000000,-0.483149838
7930000000,-0.483332905
7940000000,-0.483507843
7950000000,-0.483677096
7960000000,-0.4838392
7970000000,-0.483994616
7980000000,-0.484142917
7990000000,-0.484286624
8000000000,-0.484424397
8010000000,-0.484555066
8020000000,-0.484678712
8030000000,-0.484795588
8040000000,-0.484905671
8050000000,-0.485009449
8060000000,-0.485106225
8070000000,-0.485196912
8080000000,-0.485280836
8090000000,-0.485358395
8100000000,-0.485431285
8110000000,-0.485497771
8120000000,-0.485558996
8130000000,-0.485616876
8140000000,-0.485670281
8150000000,-0.485719824
8160000000,-0.485767942
8170000000,-0.485813797
8180000000,-0.48585731
8190000000,-0.485897347
8200000000,-0.485934622
8210000000,-0.485969777
8220000000,-0.486004023
8230000000,-0.486038508
8240000000,-0.486075806
8250000000,-0.486116904
8260000000,-0.486157256
8270000000,-0.486196551
8280000000,-0.486238276
8290000000,-0.486286613
8300000000,-0.486336854
8310000000,-0.486387782
8320000000,-0.48644016
8330000000,-0.486493265
8340000000,-0.486549444
8350000000,-0.48660917
8360000000,-0.486678937
8370000000,-0.486757754
8380000000,-0.486842101
8390000000,-0.486934459
8400000000,-0.48703245
8410000000,-0.487138037
8420000000,-0.487251962
8430000000,-0.487373832
8440000000,-0.487498104
8450000000,-0.487622467
8460000000,-0.487750142
8470000000,-0.48788703
8480000000,-0.488029489
8490000000,-0.48818082
8500000000,-0.48834534
8510000000,-0.488520558
8520000000,-0.488710441
8530000000,-0.48891237
8540000000,-0.489129036
8550000000,-0.489358864
8560000000,-0.489599228
8570000000,-0.489848648
8580000000,-0.490108291
8590000000,-0.490378224
8600000000,-0.490658953
8610000000,-0.490952556
8620000000,-0.491260356
8630000000,-0.491582313
8640000000,-0.491916806
8650000000,-0.492268188
8660000000,-0.492637583
8670000000,-0.493022889
8680000000,-0.493424851
8690000000,-0.493841313
8700000000,-0.494275098
8710000000,-0.494723786
8720000000,-0.495188986
8730000000,-0.49566865
8740000000,-0.496163011
8750000000,-0.496673762
8760000000,-0.497200962
8770000000,-0.497744945
8780000000,-0.498303296
8790000000,-0.49887557
8800000000,-0.499460806
8810000000,-0.500058505
8820000000,-0.50066904
8830000000,-0.501292215
8840000000,-0.501927459
8850000000,-0.502574123
8860000000,-0.503231992
8870000000,-0.503904083
8880000000,-0.504591311
8890000000,-0.505293683
8900000000,-0.506013929
8910000000,-0.50674808
8920000000,-0.507493041
8930000000,-0.508249848
8940000000,-0.509017206
8950000000,-0.509793119
8960000000,-0.510577449
8970000000,-0.511370342
8980000000,-0.512169174
8990000000,-0.512974569
9000000000,-0.513790883
9010000000,-0.514618053
9020000000,-0.515458391
9030000000,-0.51631193
9040000000,-0.517175432
9050000000,-0.518049932
9060000000,-0.51893306
9070000000,-0.519821483
9080000000,-0.520714772
9090000000,-0.521615522
9100000000,-0.522518961
9110000000,-0.523423968
9120000000,-0.524330665
9130000000,-0.525235555
9140000000,-0.526143362
9150000000,-0.527052004
9160000000,-0.527966331
9170000000,-0.528884128
9180000000,-0.529802888
9190000000,-0.530724272
9200000000,-0.531646186
9210000000,-0.53256791
9220000000,-0.533491908
9230000000,-0.53441424
9240000000,-0.535331732
9250000000,-0.536245478
9260000000,-0.537156431
9270000000,-0.538062714
9280000000,-0.538962611
9290000000,-0.539859825
9300000000,-0.540750315
9310000000,-0.541635558
9320000000,-0.542515741
9330000000,-0.543389407
9340000000,-0.544257044
9350000000,-0.545116477
9360000000,-0.54596697
9370000000,-0.546806478
9380000000,-0.547634078
9390000000,-0.548455197
9400000000,-0.549267148
9410000000,-0.550070822
9420000000,-0.550864525
9430000000,-0.55165
9440000000,-0.552425289
9450000000,-0.553189196
9460000000,-0.553942872
9470000000,-0.554685264
9480000000,-0.555416729
9490000000,-0.55613786
9500000000,-0.556844238
9510000000,-0.557538522
9520000000,-0.55822015
9530000000,-0.558889074
9540000000,-0.559546283
9550000000,-0.560193893
9560000000,-0.5608308
9570000000,-0.561454724
9580000000,-0.562068962
9590000000,-0.562669146
9600000000,-0.563256731
9610000000,-0.563832449
9620000000,-0.564392009
9630000000,-0.564939539
9640000000,-0.565474076
9650000000,-0.565997316
9660000000,-0.566510645
9670000000,-0.567010258
9680000000,-0.567498258
9690000000,-0.567974298
9700000000,-0.568437601
9710000000,-0.5688889
9720000000,-0.569326138
9730000000,-0.569752744
9740000000,-0.570166624
9750000000,-0.570569631
9760000000,-0.570962299
9770000000,-0.571345073
9780000000,-0.571718721
9790000000,-0.572084412
9800000000,-0.572443423
9810000000,-0.57279594
9820000000,-0.573143351
9830000000,-0.573480968
9840000000,-0.573808106
9850000000,-0.574124463
9860000000,-0.574429119
9870000000,-0.574720065
9880000000,-0.575001423
9890000000,-0.575274715
9900000000,-0.575537757
9910000000,-0.575792176
9920000000,-0.576038634
9930000000,-0.576280163
9940000000,-0.576518643
9950000000,-0.57675247
9960000000,-0.576982086
9970000000,-0.577207563
9980000000,-0.577427091
9990000000,-0.577638389
10000000000,-0.57784228
10010000000,-0.578040075
10020000000,-0.578230462
10030000000,-0.578413831
10040000000,-0.578587289
10050000000,-0.578751364
10060000000,-0.578909326
10070000000,-0.579061995
10080000000,-0.579214468
10090000000,-0.579365519
10100000000,-0.579513748
10110000000,-0.57966066
10120000000,-0.579806328
10130000000,-0.579951016
10140000000,-0.580095374
10150000000,-0.580241467
10160000000,-0.580383289
10170000000,-0.580519139
10180000000,-0.580646512
10190000000,-0.580766286
10200000000,-0.580879104
10210000000,-0.580986642
10220000000,-0.58109176
10230000000,-0.581194157
10240000000,-0.581293045
10250000000,-0.581388468
10260000000,-0.581485028
10270000000,-0.581584412
10280000000,-0.581688568
10290000000,-0.581792543
10300000000,-0.581897484
10310000000,-0.581999287
10320000000,-0.582097608
10330000000,-0.582193879
10340000000,-0.58228774
10350000000,-0.582379142
10360000000,-0.58246381
10370000000,-0.582543179
10380000000,-0.582620251
10390000000,-0.582695057
10400000000,-0.582771429
10410000000,-0.582848019
10420000000,-0.582922336
10430000000,-0.582995939
10440000000,-0.583071209
10450000000,-0.583150196
10460000000,-0.583232856
10470000000,-0.583319741
10480000000,-0.583410342
10490000000,-0.58350126
10500000000,-0.583588548
10510000000,-0.583675485
10520000000,-0.583759306
10530000000,-0.583843419
10540000000,-0.583925694
10550000000,-0.584007999
10560000000,-0.584086633
10570000000,-0.584166469
10580000000,-0.584247533
10590000000,-0.58433081
10600000000,-0.584420322
10610000000,-0.584513881
10620000000,-0.58461279
10630000000,-0.584716944
10640000000,-0.584825559
10650000000,-0.584939732
10660000000,-0.585058518
10670000000,-0.585180883
10680000000,-0.585303985
10690000000,-0.585426695
10700000000,-0.58555064
10710000000,-0.585675844
10720000000,-0.585802533
10730000000,-0.585935655
10740000000,-0.586072982
10750000000,-0.586212974
10760000000,-0.586355919
10770000000,-0.586505385
10780000000,-0.586664711
10790000000,-0.58683396
10800000000,-0.587015151
10810000000,-0.587204499
10820000000,-0.587399804
10830000000,-0.587601581
10840000000,-0.587810235
10850000000,-0.588027452
10860000000,-0.588252262
10870000000,-0.58848012
10880000000,-0.588709919
10890000000,-0.588943425
10900000000,-0.589182232
10910000000,-0.589428144
10920000000,-0.589684105
10930000000,-0.589949261
10940000000,-0.590222
10950000000,-0.590504179
10960000000,-0.590796003
10970000000,-0.591098912
10980000000,-0.591412892
10990000000,-0.591737455
11000000000,-0.592072369
11010000000,-0.59241376
11020000000,-0.592757997
11030000000,-0.593108335
11040000000,-0.593468965
11050000000,-0.593838628
11060000000,-0.594217325
11070000000,-0.5946053
11080000000,-0.595005394
11090000000,-0.595413899
11100000000,-0.595833652
11110000000,-0.596265659
11120000000,-0.596706472
11130000000,-0.597157494
11140000000,-0.597615146
11150000000,-0.598079555
11160000000,-0.598550723
11170000000,-0.599031489
11180000000,-0.599521435
11190000000,-0.600020184
11200000000,-0.600525896
11210000000,-0.601039779
11220000000,-0.601559241
11230000000,-0.602089927
11240000000,-0.602631883
11250000000,-0.603186316
11260000000,-0.603749177
11270000000,-0.604319335
11280000000,-0.604898796
11290000000,-0.60548247
11300000000,-0.606073074
11310000000,-0.60667134
11320000000,-0.607273937
11330000000,-0.607882663
11340000000,-0.608495358
11350000000,-0.609114109
11360000000,-0.609735998
11370000000,-0.610363554
11380000000,-0.610999063
11390000000,-0.61164063
11400000000,-0.612285172
11410000000,-0.612931374
11420000000,-0.613579365
11430000000,-0.614230824
11440000000,-0.614886468
11450000000,-0.615546153
11460000000,-0.616206739
11470000000,-0.616868637
11480000000,-0.617529482
11490000000,-0.618189623
11500000000,-0.618850598
11510000000,-0.619511473
11520000000,-0.62017577
11530000000,-0.62084014
11540000000,-0.62150268
11550000000,-0.622160321
11560000000,-0.622816442
11570000000,-0.623471708
11580000000,-0.624124555
11590000000,-0.624775798
11600000000,-0.625424959
11610000000,-0.626066594
11620000000,-0.626706669
11630000000,-0.627342092
11640000000,-0.627972803
11650000000,-0.628597345
11660000000,-0.629212746
11670000000,-0.629821768
11680000000,-0.630421051
11690000000,-0.6310122
11700000000,-0.631595138
11710000000,-0.632169554
11720000000,-0.63273328
11730000000,-0.633287729
11740000000,-0.633831649
11750000000,-0.634365176
11760000000,-0.634889652
11770000000,-0.635404714
11780000000,-0.6359079
