Frequency(Hz),Amp(dB)
5080000000,-1.610229691
5090000000,-1.612112507
5100000000,-1.614070223
5110000000,-1.615944826
5120000000,-1.617806042
5130000000,-1.619698252
5140000000,-1.621508697
5150000000,-1.623343952
5160000000,-1.625193615
5170000000,-1.627031461
5180000000,-1.6288561
5190000000,-1.630693184
5200000000,-1.632535007
5210000000,-1.634390278
5220000000,-1.636223241
5230000000,-1.638063254
5240000000,-1.63990956
5250000000,-1.641754952
5260000000,-1.643562758
5270000000,-1.64544423
5280000000,-1.647293263
5290000000,-1.649145453
5300000000,-1.65103687
5310000000,-1.652982053
5320000000,-1.654879044
5330000000,-1.65676827
5340000000,-1.658696971
5350000000,-1.660595274
5360000000,-1.662570168
5370000000,-1.66452952
5380000000,-1.666471252
5390000000,-1.668380872
5400000000,-1.670280667
5410000000,-1.672230249
5420000000,-1.674182034
5430000000,-1.676116215
5440000000,-1.678016544
5450000000,-1.679930881
5460000000,-1.681816024
5470000000,-1.683701386
5480000000,-1.68560123
5490000000,-1.687505913
5500000000,-1.689353231
5510000000,-1.691196267
5520000000,-1.69307715
5530000000,-1.694949476
5540000000,-1.696829708
5550000000,-1.69871712
5560000000,-1.700615866
5570000000,-1.702544365
5580000000,-1.70446376
5590000000,-1.706402995
5600000000,-1.708383338
5610000000,-1.710298983
5620000000,-1.712261523
5630000000,-1.714241763
5640000000,-1.716188625
5650000000,-1.718165978
5660000000,-1.720115252
5670000000,-1.722104836
5680000000,-1.724109875
5690000000,-1.726096693
5700000000,-1.728026911
5710000000,-1.729983788
5720000000,-1.731938352
5730000000,-1.733883612
5740000000,-1.735826833
5750000000,-1.73775922
5760000000,-1.739672508
5770000000,-1.741615238
5780000000,-1.743547133
5790000000,-1.745490096
5800000000,-1.747446775
5810000000,-1.749348185
5820000000,-1.751317493
5830000000,-1.753253819
5840000000,-1.755156561
5850000000,-1.757094185
5860000000,-1.759026239
5870000000,-1.760976919
5880000000,-1.762906248
5890000000,-1.764848912
5900000000,-1.766851347
5910000000,-1.768823535
5920000000,-1.770762966
5930000000,-1.772756546
5940000000,-1.774745376
5950000000,-1.776684544
5960000000,-1.77862262
5970000000,-1.780530812
5980000000,-1.782433168
5990000000,-1.784359163
6000000000,-1.786299789
6010000000,-1.788244397
6020000000,-1.790157274
6030000000,-1.792053928
6040000000,-1.793925358
6050000000,-1.795826428
6060000000,-1.7977688
6070000000,-1.799729438
6080000000,-1.801687818
6090000000,-1.803616928
6100000000,-1.805544476
6110000000,-1.807485304
6120000000,-1.80943872
6130000000,-1.811400002
6140000000,-1.813354243
6150000000,-1.815285715
6160000000,-1.817227653
6170000000,-1.819212961
6180000000,-1.821142351
6190000000,-1.823032337
6200000000,-1.824970209
6210000000,-1.826894231
6220000000,-1.828807709
6230000000,-1.83068311
6240000000,-1.832564503
6250000000,-1.834434332
6260000000,-1.836315934
6270000000,-1.838178259
6280000000,-1.840038332
6290000000,-1.841929998
6300000000,-1.843813467
6310000000,-1.845690935
6320000000,-1.847581667
6330000000,-1.849519684
6340000000,-1.851476934
6350000000,-1.853446857
6360000000,-1.855396395
6370000000,-1.857318706
6380000000,-1.859288305
6390000000,-1.861283313
6400000000,-1.863332299
6410000000,-1.865341663
6420000000,-1.867405729
6430000000,-1.869393133
6440000000,-1.871377122
6450000000,-1.873407864
6460000000,-1.875400237
6470000000,-1.87738397
6480000000,-1.879294626
6490000000,-1.88124788
6500000000,-1.88312209
6510000000,-1.884962969
6520000000,-1.886836252
6530000000,-1.888686082
6540000000,-1.890537679
6550000000,-1.892386552
6560000000,-1.894176169
6570000000,-1.895979167
6580000000,-1.897808448
6590000000,-1.899671511
6600000000,-1.901535869
6610000000,-1.903389407
6620000000,-1.90528214
6630000000,-1.907181289
6640000000,-1.909069533
6650000000,-1.910924401
6660000000,-1.912819365
6670000000,-1.914746892
6680000000,-1.916680508
6690000000,-1.918647512
6700000000,-1.920550986
6710000000,-1.922504112
6720000000,-1.924438038
6730000000,-1.926387932
6740000000,-1.928319953
6750000000,-1.93026971
6760000000,-1.932233524
6770000000,-1.934085761
6780000000,-1.935940592
6790000000,-1.937778928
6800000000,-1.93961994
6810000000,-1.941414559
6820000000,-1.943207812
6830000000,-1.945017574
6840000000,-1.946738025
6850000000,-1.948471311
6860000000,-1.95020674
6870000000,-1.951894148
6880000000,-1.953563844
6890000000,-1.955232822
6900000000,-1.956900791
6910000000,-1.958645066
6920000000,-1.960360898
6930000000,-1.962047097
6940000000,-1.963730813
6950000000,-1.965433759
6960000000,-1.967127443
6970000000,-1.968850107
6980000000,-1.970590598
6990000000,-1.972306009
7000000000,-1.974053078
7010000000,-1.975789548
7020000000,-1.97757416
7030000000,-1.979316559
7040000000,-1.981021864
7050000000,-1.982756809
7060000000,-1.984461271
7070000000,-1.986186287
7080000000,-1.987849768
7090000000,-1.989478165
7100000000,-1.991159688
7110000000,-1.992809074
7120000000,-1.99440649
7130000000,-1.996045057
7140000000,-1.997663081
7150000000,-1.999241063
7160000000,-2.000837122
7170000000,-2.002437649
7180000000,-2.004004037
7190000000,-2.005546203
7200000000,-2.00712349
7210000000,-2.008736072
7220000000,-2.010349739
7230000000,-2.011934999
7240000000,-2.01356446
7250000000,-2.015202375
7260000000,-2.016803635
7270000000,-2.0184194
7280000000,-2.020013325
7290000000,-2.021606137
7300000000,-2.023185593
7310000000,-2.024807321
7320000000,-2.026377496
7330000000,-2.027955645
7340000000,-2.029544044
7350000000,-2.031116164
7360000000,-2.032709226
7370000000,-2.034306872
7380000000,-2.035929156
7390000000,-2.037589633
7400000000,-2.039252395
7410000000,-2.040966463
7420000000,-2.042660113
7430000000,-2.044412435
7440000000,-2.046118208
7450000000,-2.047866792
7460000000,-2.049638815
7470000000,-2.051418511
7480000000,-2.053232127
7490000000,-2.055050532
7500000000,-2.05691017
7510000000,-2.058669838
7520000000,-2.060503753
7530000000,-2.062323513
7540000000,-2.064122767
7550000000,-2.065900981
7560000000,-2.067662086
7570000000,-2.069421194
7580000000,-2.071200373
7590000000,-2.072949744
7600000000,-2.074741756
7610000000,-2.076473496
7620000000,-2.078248301
7630000000,-2.080038616
7640000000,-2.081774844
7650000000,-2.083522077
7660000000,-2.085252932
7670000000,-2.08706263
7680000000,-2.088840464
7690000000,-2.090695723
7700000000,-2.092527894
7710000000,-2.094393547
7720000000,-2.096287405
7730000000,-2.098227656
7740000000,-2.100163847
7750000000,-2.102147364
7760000000,-2.104135946
7770000000,-2.106133438
7780000000,-2.108147581
7790000000,-2.110170611
7800000000,-2.112207646
7810000000,-2.114230294
7820000000,-2.116278976
7830000000,-2.118350389
7840000000,-2.120308322
7850000000,-2.122310284
7860000000,-2.124258611
7870000000,-2.126211074
7880000000,-2.128130973
7890000000,-2.130028948
7900000000,-2.13190224
7910000000,-2.133808148
7920000000,-2.135640839
7930000000,-2.13742959
7940000000,-2.139272904
7950000000,-2.141066857
7960000000,-2.142902883
7970000000,-2.144724044
7980000000,-2.146486714
7990000000,-2.148267162
8000000000,-2.150056754
8010000000,-2.151900714
8020000000,-2.153785902
8030000000,-2.155674344
8040000000,-2.157567643
8050000000,-2.159503018
8060000000,-2.161467163
8070000000,-2.163435816
8080000000,-2.16543821
8090000000,-2.167469963
8100000000,-2.169565895
8110000000,-2.171678768
8120000000,-2.173762052
8130000000,-2.175862139
8140000000,-2.177964348
8150000000,-2.180037119
8160000000,-2.182067553
8170000000,-2.184162543
8180000000,-2.186228332
8190000000,-2.188211211
8200000000,-2.190176168
8210000000,-2.192115978
8220000000,-2.194027239
8230000000,-2.195921046
8240000000,-2.19773852
8250000000,-2.199543237
8260000000,-2.201298199
8270000000,-2.203003027
8280000000,-2.204685812
8290000000,-2.20636493
8300000000,-2.208049139
8310000000,-2.209709286
8320000000,-2.211367398
8330000000,-2.213034036
8340000000,-2.214726805
8350000000,-2.216447688
8360000000,-2.218191442
8370000000,-2.219964137
8380000000,-2.221765319
8390000000,-2.223615349
8400000000,-2.225482293
8410000000,-2.227336095
8420000000,-2.229287628
8430000000,-2.231232714
8440000000,-2.233182172
8450000000,-2.235165841
8460000000,-2.237164288
8470000000,-2.239223025
8480000000,-2.241183056
8490000000,-2.243215687
8500000000,-2.245251099
8510000000,-2.247229701
8520000000,-2.249165037
8530000000,-2.25104786
8540000000,-2.25291543
8550000000,-2.254822012
8560000000,-2.256647173
8570000000,-2.258454025
8580000000,-2.260182039
8590000000,-2.261920881
8600000000,-2.263644725
8610000000,-2.265311605
8620000000,-2.266986378
8630000000,-2.268661179
8640000000,-2.270340394
8650000000,-2.272051141
8660000000,-2.273778197
8670000000,-2.275514275
8680000000,-2.277245601
8690000000,-2.279100961
8700000000,-2.280953362
8710000000,-2.282834853
8720000000,-2.284733507
8730000000,-2.286668419
8740000000,-2.28867606
8750000000,-2.290649537
8760000000,-2.292700076
8770000000,-2.294742248
8780000000,-2.296807133
8790000000,-2.298842423
8800000000,-2.300913227
8810000000,-2.302915257
8820000000,-2.304948345
8830000000,-2.306934619
8840000000,-2.308857003
8850000000,-2.31075846
8860000000,-2.312608838
8870000000,-2.314446063
8880000000,-2.316271379
8890000000,-2.318011483
8900000000,-2.319747969
8910000000,-2.321454166
8920000000,-2.323181418
8930000000,-2.324860522
8940000000,-2.326556955
8950000000,-2.328260769
8960000000,-2.329937602
8970000000,-2.331622897
8980000000,-2.33329884
8990000000,-2.335028586
9000000000,-2.336789945
9010000000,-2.338430629
9020000000,-2.340124979
9030000000,-2.341891463
9040000000,-2.343676887
9050000000,-2.345437355
9060000000,-2.34724137
9070000000,-2.349086728
9080000000,-2.350909612
9090000000,-2.352717991
9100000000,-2.354582023
9110000000,-2.356438827
9120000000,-2.358300979
9130000000,-2.360141382
9140000000,-2.361938297
9150000000,-2.363755794
9160000000,-2.36561586
9170000000,-2.367427788
9180000000,-2.369268103
9190000000,-2.371011767
9200000000,-2.372725745
9210000000,-2.374396446
9220000000,-2.376069015
9230000000,-2.377735381
9240000000,-2.379378936
9250000000,-2.381036323
9260000000,-2.382638741
9270000000,-2.384267271
9280000000,-2.385893679
9290000000,-2.387473837
9300000000,-2.389032994
9310000000,-2.390639805
9320000000,-2.392169744
9330000000,-2.393707317
9340000000,-2.395329391
9350000000,-2.396847506
9360000000,-2.398404101
9370000000,-2.399942514
9380000000,-2.401473771
9390000000,-2.402950146
9400000000,-2.40446008
9410000000,-2.406011684
9420000000,-2.407544578
9430000000,-2.409102667
9440000000,-2.410698762
9450000000,-2.412302673
9460000000,-2.413926184
9470000000,-2.41557039
9480000000,-2.41722404
9490000000,-2.418916416
9500000000,-2.420662087
9510000000,-2.422354506
9520000000,-2.424040574
9530000000,-2.42575381
9540000000,-2.427498822
9550000000,-2.429187791
9560000000,-2.430889714
9570000000,-2.4325572
9580000000,-2.434182757
9590000000,-2.435857048
9600000000,-2.437521664
9610000000,-2.439135002
9620000000,-2.440693722
9630000000,-2.442244456
9640000000,-2.44380647
9650000000,-2.445330296
9660000000,-2.446737762
9670000000,-2.4482526
9680000000,-2.449743359
9690000000,-2.451297378
